Détail du scoring optimisé,,,,,,,,,,,,,,,,,,,,,,,
"Une ligne par marque x marketplace. Les marketplaces déjà présents ne sont pas éligibles aux 2 recommandations finales, mais leur score est conservé pour audit.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Marque,Nom dans scoring initial,Pays,Catégorie optimisée,Marketplace,Déjà présent ?,Score optimisé,Priorité,Score initial,Fit catégorie,Fit géographique,Échelle commerciale,Readiness ops/wholesale,Fit positionnement,Incrémentalité,Story/durabilité,Pénalité risque,Score modèle brut,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable,Positionnement,Notes data
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,La Redoute,Non,"78,5",P2 — Recommandé,"70,0","27,0","8,0","12,5","13,0","8,0","6,0","5,0","-5,0","79,5","3,0",20,High,TRUE,luxury_premium,OK
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,Debenhams,Non,"75,0",P2 — Recommandé,"70,0","28,0","8,0","12,5","13,0","8,0","5,0","3,0","-7,0","75,5","3,0",20,High,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,Nordstrom,Oui,"80,0",P1 — Fort potentiel,,"28,0","12,0","10,0","9,0","11,0","3,0","4,0","-2,0","80,0","2,0",5,Medium,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,Bloomingdale's,Oui,"77,5",P2 — Recommandé,,"30,0","12,0","9,5","9,0","12,0","3,0","2,0","-5,0","77,5","2,0",5,Medium,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,John Lewis,Non,"67,5",P3 — Test / à cadrer,"72,0","19,0","9,0","9,5","10,0","11,0","4,5","4,0","-5,0","67,0","2,0",5,Medium,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,Galeries Lafayette,Non,"60,3",P3 — Test / à cadrer,"72,0","25,0","8,0","5,5","9,0","12,0","5,0","2,5","-13,0","59,0","2,0",5,Medium,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,La Redoute,Non,"49,9",Watchlist — faible fit,"62,0","16,0","8,0","10,5","10,0","8,0","5,0","4,0","-18,0","48,5","2,0",5,Medium,TRUE,luxury_premium,OK
Laura Lombardi,Laura Lombardi,USA,Fine Jewelry,Debenhams,Non,"48,1",Watchlist — faible fit,"62,0","18,0","10,0","10,5","10,0","7,0","4,0","2,0","-20,0","46,5","2,0",5,Medium,TRUE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,Bloomingdale's,Oui,"80,8",P1 — Fort potentiel,,"28,0","12,0","10,8","9,0","12,0","3,0","1,0","0,0","80,8","3,0",11,Medium,FALSE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,Nordstrom,Oui,"79,4",P2 — Recommandé,,"27,0","12,0","11,4","9,0","11,0","3,0","1,0","0,0","79,4","3,0",11,Medium,FALSE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,John Lewis,Non,"77,4",P2 — Recommandé,"87,0","25,0","9,0","10,8","10,0","11,0","4,5","1,0","0,0","76,3","3,0",11,Medium,FALSE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,Galeries Lafayette,Non,"71,6",P2 — Recommandé,"72,0","30,0","8,0","9,5","9,0","12,0","5,0","1,0","-8,0","71,5","3,0",11,Medium,FALSE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,La Redoute,Non,"70,6",P2 — Recommandé,"95,0","27,0","8,0","11,9","10,0","8,0","5,0","1,0","-8,0","67,9","3,0",11,Medium,FALSE,luxury_premium,OK
Les Tien,Les Tien,USA,Womenswear RTW,Debenhams,Non,"70,6",P2 — Recommandé,"95,0","28,0","10,0","11,9","10,0","8,0","4,0","1,0","-10,0","67,9","3,0",11,Medium,FALSE,luxury_premium,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,Debenhams,Non,"84,7",P1 — Fort potentiel,"65,0","28,0","10,0","11,9","13,0","12,0","6,0","1,0","0,0","86,9","3,0",11,High,FALSE,premium_contemporary,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,Nordstrom,Non,"84,1",P1 — Fort potentiel,"72,0","27,0","10,0","11,4","12,0","12,0","7,0","1,0","0,0","85,4","3,0",11,High,FALSE,premium_contemporary,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,John Lewis,Non,"83,7",P1 — Fort potentiel,"87,0","25,0","11,0","10,8","13,0","11,0","6,5","1,0","0,0","83,3","3,0",11,High,FALSE,premium_contemporary,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,La Redoute,Non,"82,9",P1 — Fort potentiel,"65,0","27,0","11,0","11,9","13,0","11,0","5,0","1,0","0,0","84,9","3,0",11,High,FALSE,premium_contemporary,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,Bloomingdale's,Non,"81,7",P1 — Fort potentiel,"72,0","28,0","9,0","10,8","12,0","10,0","7,0","1,0","0,0","82,8","3,0",11,High,FALSE,premium_contemporary,OK
Lie Studio,Lie Studio,Denmark,Womenswear RTW,Galeries Lafayette,Non,"77,9",P2 — Recommandé,"72,0","30,0","11,0","9,5","12,0","10,0","5,0","1,0","-5,0","78,5","3,0",11,High,FALSE,premium_contemporary,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,John Lewis,Oui,"83,4",P1 — Fort potentiel,,"26,0","11,0","10,9","12,0","12,0","5,5","1,0","0,0","83,4","5,0",11,High,FALSE,luxury_premium,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,Nordstrom,Non,"83,3",P1 — Fort potentiel,"87,0","27,0","10,0","11,9","11,0","11,0","6,0","1,0","0,0","82,9","5,0",11,High,FALSE,luxury_premium,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,Bloomingdale's,Non,"81,8",P1 — Fort potentiel,"72,0","28,0","9,0","10,9","11,0","12,0","6,0","1,0","0,0","82,9","5,0",11,High,FALSE,luxury_premium,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,La Redoute,Non,"77,4",P2 — Recommandé,"95,0","27,0","11,0","12,4","12,0","8,0","4,0","1,0","-5,0","75,4","5,0",11,High,FALSE,luxury_premium,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,Debenhams,Non,"76,5",P2 — Recommandé,"95,0","28,0","10,0","12,4","12,0","8,0","5,0","1,0","-7,0","74,4","5,0",11,High,FALSE,luxury_premium,OK
Lisa Yang,Lisa Yang,Sweden,Womenswear RTW,Galeries Lafayette,Non,"75,9",P2 — Recommandé,"57,0","30,0","11,0","9,0","11,0","12,0","4,0","1,0","-5,0","78,0","5,0",11,High,FALSE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,Bloomingdale's,Oui,"84,8",P1 — Fort potentiel,,"30,0","12,0","10,8","9,0","12,0","3,0","3,0","0,0","84,8","3,0",11,Medium,TRUE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,Nordstrom,Oui,"84,4",P1 — Fort potentiel,,"28,0","12,0","11,4","9,0","11,0","3,0","5,0","0,0","84,4","3,0",11,Medium,TRUE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,John Lewis,Non,"75,6",P2 — Recommandé,"87,0","19,0","9,0","10,8","10,0","11,0","4,5","5,0","0,0","74,3","3,0",11,Medium,TRUE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,Galeries Lafayette,Non,"69,3",P3 — Test / à cadrer,"72,0","25,0","8,0","9,5","9,0","12,0","5,0","3,5","-8,0","69,0","3,0",11,Medium,TRUE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,La Redoute,Non,"56,4",Watchlist — faible fit,"70,0","16,0","8,0","11,9","10,0","8,0","5,0","5,0","-14,0","54,9","3,0",11,Medium,TRUE,luxury_premium,OK
Lizzie Fortunato,Lizzie Fortunato,USA,Fine Jewelry,Debenhams,Non,"54,6",Watchlist — faible fit,"70,0","18,0","10,0","11,9","10,0","7,0","4,0","3,0","-16,0","52,9","3,0",11,Medium,TRUE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,Bloomingdale's,Oui,"81,8",P1 — Fort potentiel,,"30,0","12,0","10,8","8,0","12,0","3,0","1,0","0,0","81,8","3,0",11,Medium,FALSE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,Nordstrom,Oui,"79,4",P2 — Recommandé,,"28,0","12,0","11,4","8,0","11,0","3,0","1,0","0,0","79,4","3,0",11,Medium,FALSE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,John Lewis,Non,"70,2",P2 — Recommandé,"87,0","19,0","9,0","10,8","8,0","11,0","4,5","1,0","0,0","68,3","3,0",11,Medium,FALSE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,Galeries Lafayette,Non,"66,2",P3 — Test / à cadrer,"72,0","25,0","8,0","9,5","8,0","12,0","5,0","1,0","-8,0","65,5","3,0",11,Medium,FALSE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,La Redoute,Non,"46,9",Watchlist — faible fit,"65,0","16,0","8,0","11,9","8,0","8,0","5,0","1,0","-18,0","44,9","3,0",11,Medium,FALSE,luxury_premium,OK
Loren Stewart,Loren Stewart,USA,Fine Jewelry,Debenhams,Non,"46,9",Watchlist — faible fit,"65,0","18,0","10,0","11,9","8,0","7,0","4,0","1,0","-20,0","44,9","3,0",11,Medium,FALSE,luxury_premium,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,Nordstrom,Oui,"74,5",P2 — Recommandé,,"27,0","12,0","8,5","9,0","12,0","4,0","1,0","-4,0","74,5","2,0",2,Medium,FALSE,premium_contemporary,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,Debenhams,Non,"73,2",P2 — Recommandé,"52,0","28,0","10,0","8,5","10,0","12,0","5,0","1,0","-4,0","75,5","2,0",2,Medium,FALSE,premium_contemporary,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,La Redoute,Non,"70,5",P2 — Recommandé,"52,0","27,0","8,0","8,5","10,0","11,0","6,0","1,0","-4,0","72,5","2,0",2,Medium,FALSE,premium_contemporary,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,Bloomingdale's,Non,"70,2",P2 — Recommandé,"72,0","28,0","12,0","8,0","9,0","10,0","4,0","1,0","-7,0","70,0","2,0",2,Medium,FALSE,premium_contemporary,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,John Lewis,Non,"68,0",P3 — Test / à cadrer,"72,0","25,0","9,0","8,0","10,0","11,0","5,5","1,0","-7,0","67,5","2,0",2,Medium,FALSE,premium_contemporary,OK
MAISON MAYLE,MAISON MAYLE,USA,Womenswear RTW,Galeries Lafayette,Non,"61,7",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","9,0","9,0","6,0","1,0","-13,0","60,5","2,0",2,Medium,FALSE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,La Redoute,Non,"86,9",P1 — Fort potentiel,"95,0","30,0","8,0","11,5","11,0","12,0","6,5","5,0","-3,0","86,0","1,0",20,Medium,TRUE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,Nordstrom,Non,"79,9",P2 — Recommandé,"70,0","27,0","7,0","11,5","10,0","12,0","6,5","5,0","-3,0","81,0","1,0",20,Medium,TRUE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,Debenhams,Non,"78,8",P2 — Recommandé,"95,0","25,0","7,0","11,5","11,0","12,0","5,5","3,0","-3,0","77,0","1,0",20,Medium,TRUE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,John Lewis,Non,"76,3",P2 — Recommandé,"65,0","29,0","7,0","8,6","11,0","12,0","6,0","5,0","-6,0","77,6","1,0",20,Medium,TRUE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,Bloomingdale's,Non,"67,8",P3 — Test / à cadrer,"65,0","25,0","6,0","8,6","10,0","10,0","6,5","3,0","-6,0","68,1","1,0",20,Medium,TRUE,premium_contemporary,OK
MARRAKSHI LIFE,MARRAKSHI LIFE,Morocco,Swimwear / Resort,Galeries Lafayette,Non,"65,4",P3 — Test / à cadrer,"62,0","22,0","8,0","7,8","10,0","9,0","6,5","3,5","-6,0","65,8","1,0",20,Medium,TRUE,premium_contemporary,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,Nordstrom,Oui,"80,0",P1 — Fort potentiel,,"27,0","12,0","10,0","9,0","11,0","4,0","4,0","-2,0","80,0","2,0",5,Medium,TRUE,luxury_premium,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,Bloomingdale's,Non,"76,1",P2 — Recommandé,"72,0","28,0","12,0","9,5","9,0","12,0","4,0","2,0","-5,0","76,5","2,0",5,Medium,TRUE,luxury_premium,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,John Lewis,Non,"73,8",P2 — Recommandé,"72,0","25,0","9,0","9,5","10,0","11,0","5,5","4,0","-5,0","74,0","2,0",5,Medium,TRUE,luxury_premium,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,La Redoute,Non,"69,7",P3 — Test / à cadrer,"62,0","27,0","8,0","10,5","10,0","8,0","6,0","4,0","-8,0","70,5","2,0",5,Medium,TRUE,luxury_premium,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,Debenhams,Non,"67,8",P3 — Test / à cadrer,"62,0","28,0","10,0","10,5","10,0","8,0","5,0","2,0","-10,0","68,5","2,0",5,Medium,TRUE,luxury_premium,OK
Maria McManus,Maria McManus,USA,Womenswear RTW,Galeries Lafayette,Non,"65,7",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","9,0","12,0","6,0","2,5","-13,0","65,0","2,0",5,Medium,TRUE,luxury_premium,OK
Marla Aaron,Marla Aaron,Other,Fine Jewelry,John Lewis,Non,"76,1",P2 — Recommandé,"63,0","29,0","6,0","13,1","9,0","12,0","5,5","1,0","-3,0","77,6","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marla Aaron,Marla Aaron,Other,Fine Jewelry,Bloomingdale's,Oui,"72,1",P2 — Recommandé,,"30,0","6,0","13,1","6,0","12,0","6,0","1,0","-7,0","72,1","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marla Aaron,Marla Aaron,Other,Fine Jewelry,Nordstrom,Oui,"70,9",P2 — Recommandé,,"28,0","7,0","13,9","6,0","11,0","6,0","1,0","-7,0","70,9","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marla Aaron,Marla Aaron,Other,Fine Jewelry,Galeries Lafayette,Non,"68,3",P3 — Test / à cadrer,"63,0","25,0","6,0","10,9","8,0","12,0","6,0","1,0","-5,0","68,9","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marla Aaron,Marla Aaron,Other,Fine Jewelry,La Redoute,Non,"66,4",P3 — Test / à cadrer,"75,0","30,0","6,0","14,4","9,0","9,0","6,0","1,0","-15,0","65,4","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marla Aaron,Marla Aaron,Other,Fine Jewelry,Debenhams,Non,"57,4",Watchlist — faible fit,"75,0","24,0","6,0","14,4","9,0","7,0","5,0","1,0","-16,0","55,4","10,0",11,Low,FALSE,luxury_premium,Données enrichies absentes du CSV; complétées par recherche web
Marlo Laz,Marlo Laz,USA,Fine Jewelry,Nordstrom,Oui,"77,0",P2 — Recommandé,,"28,0","12,0","10,0","9,0","11,0","3,0","1,0","-2,0","77,0","2,0",5,Medium,FALSE,luxury_premium,OK
Marlo Laz,Marlo Laz,USA,Fine Jewelry,Bloomingdale's,Oui,"76,5",P2 — Recommandé,,"30,0","12,0","9,5","9,0","12,0","3,0","1,0","-5,0","76,5","2,0",5,Medium,FALSE,luxury_premium,OK
Marlo Laz,Marlo Laz,USA,Fine Jewelry,John Lewis,Non,"64,8",P3 — Test / à cadrer,"72,0","19,0","9,0","9,5","10,0","11,0","4,5","1,0","-5,0","64,0","2,0",5,Medium,FALSE,luxury_premium,OK
Marlo Laz,Marlo Laz,USA,Fine Jewelry,Galeries Lafayette,Non,"59,0",Watchlist — faible fit,"72,0","25,0","8,0","5,5","9,0","12,0","5,0","1,0","-13,0","57,5","2,0",5,Medium,FALSE,luxury_premium,OK
Marlo Laz,Marlo Laz,USA,Fine Jewelry,La Redoute,Non,"46,7",Watchlist — faible fit,"57,0","16,0","8,0","10,5","10,0","8,0","5,0","1,0","-18,0","45,5","2,0",5,Medium,FALSE,luxury_premium,OK
Marlo Laz,Marlo Laz,USA,Fine Jewelry,Debenhams,Non,"46,7",Watchlist — faible fit,"57,0","18,0","10,0","10,5","10,0","7,0","4,0","1,0","-20,0","45,5","2,0",5,Medium,FALSE,luxury_premium,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,La Redoute,Non,"88,0",P1 — Fort potentiel,"95,0","27,0","11,0","11,2","11,0","12,0","5,0","5,0","0,0","87,2","2,0",10,Medium,TRUE,premium_contemporary,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,Nordstrom,Non,"87,3",P1 — Fort potentiel,"92,0","27,0","10,0","10,8","10,0","12,0","7,0","5,0","0,0","86,8","2,0",10,Medium,TRUE,premium_contemporary,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,Debenhams,Non,"87,1",P1 — Fort potentiel,"95,0","28,0","10,0","11,2","11,0","12,0","6,0","3,0","0,0","86,2","2,0",10,Medium,TRUE,premium_contemporary,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,John Lewis,Non,"80,3",P1 — Fort potentiel,"77,0","25,0","10,0","10,2","11,0","11,0","6,5","5,0","-3,0","80,7","2,0",10,Medium,TRUE,premium_contemporary,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,Bloomingdale's,Non,"79,9",P2 — Recommandé,"77,0","28,0","10,0","10,2","10,0","10,0","7,0","3,0","-3,0","80,2","2,0",10,Medium,TRUE,premium_contemporary,OK
Marta Ferri,Marta Ferri,Italy,Swimwear / Resort,Galeries Lafayette,Non,"74,2",P2 — Recommandé,"72,0","30,0","12,0","7,0","10,0","10,0","5,0","3,5","-8,0","74,5","2,0",10,Medium,TRUE,premium_contemporary,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,Nordstrom,Oui,"77,0",P2 — Recommandé,,"28,0","12,0","10,0","9,0","11,0","3,0","1,0","-2,0","77,0","2,0",5,Medium,FALSE,luxury_premium,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,Bloomingdale's,Oui,"76,5",P2 — Recommandé,,"30,0","12,0","9,5","9,0","12,0","3,0","1,0","-5,0","76,5","2,0",5,Medium,FALSE,luxury_premium,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,John Lewis,Non,"64,8",P3 — Test / à cadrer,"72,0","19,0","9,0","9,5","10,0","11,0","4,5","1,0","-5,0","64,0","2,0",5,Medium,FALSE,luxury_premium,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,Galeries Lafayette,Non,"59,0",Watchlist — faible fit,"72,0","25,0","8,0","5,5","9,0","12,0","5,0","1,0","-13,0","57,5","2,0",5,Medium,FALSE,luxury_premium,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,La Redoute,Non,"46,7",Watchlist — faible fit,"57,0","16,0","8,0","10,5","10,0","8,0","5,0","1,0","-18,0","45,5","2,0",5,Medium,FALSE,luxury_premium,OK
Martha Calvo,Martha Calvo,USA,Fine Jewelry,Debenhams,Non,"46,7",Watchlist — faible fit,"57,0","18,0","10,0","10,5","10,0","7,0","4,0","1,0","-20,0","45,5","2,0",5,Medium,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,Galeries Lafayette,Oui,"87,0",P1 — Fort potentiel,,"30,0","11,0","12,0","11,0","12,0","5,0","1,0","0,0","87,0","10,0",25,High,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,Bloomingdale's,Oui,"85,3",P1 — Fort potentiel,,"28,0","9,0","14,3","11,0","12,0","5,0","1,0","0,0","85,3","10,0",25,High,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,Nordstrom,Non,"84,5",P1 — Fort potentiel,"80,0","27,0","10,0","15,0","11,0","11,0","5,0","1,0","0,0","85,0","10,0",25,High,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,John Lewis,Oui,"82,3",P1 — Fort potentiel,,"25,0","12,0","14,3","11,0","11,0","3,0","1,0","0,0","82,3","10,0",25,High,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,La Redoute,Non,"72,2",P2 — Recommandé,"65,0","27,0","10,0","15,0","11,0","8,0","5,0","1,0","-9,0","73,0","10,0",25,High,FALSE,luxury_premium,OK
Mary Katrantzou,Mary Katrantzou,UK,Womenswear RTW,Debenhams,Non,"71,3",P2 — Recommandé,"65,0","28,0","12,0","15,0","11,0","8,0","3,0","1,0","-11,0","72,0","10,0",25,High,FALSE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,Nordstrom,Oui,"88,0",P1 — Fort potentiel,,"27,0","12,0","15,0","10,0","11,0","4,0","4,0","0,0","88,0","10,0",25,High,TRUE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,Bloomingdale's,Oui,"84,3",P1 — Fort potentiel,,"25,0","12,0","14,3","10,0","12,0","4,0","2,0","0,0","84,3","10,0",25,High,TRUE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,La Redoute,Non,"82,9",P1 — Fort potentiel,"100,0","26,0","8,0","15,0","10,0","9,0","6,0","4,0","-2,0","81,0","10,0",25,High,TRUE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,John Lewis,Non,"80,4",P1 — Fort potentiel,"95,0","20,0","9,0","14,3","10,0","11,0","5,5","4,0","0,0","78,8","10,0",25,High,TRUE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,Debenhams,Non,"79,3",P2 — Recommandé,"100,0","25,0","10,0","15,0","10,0","8,0","5,0","2,0","-3,0","77,0","10,0",25,High,TRUE,luxury_premium,OK
Marysia,Marysia,USA,Swimwear / Resort,Galeries Lafayette,Non,"78,5",P2 — Recommandé,"87,0","22,0","8,0","12,0","10,0","12,0","6,0","2,5","0,0","77,5","10,0",25,High,TRUE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,La Redoute,Non,"80,5",P1 — Fort potentiel,"95,0","30,0","8,0","12,9","10,0","9,0","5,0","1,0","-2,0","78,9","5,0",11,Medium,FALSE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,John Lewis,Non,"79,4",P2 — Recommandé,"57,0","29,0","9,0","11,4","10,0","12,0","4,5","1,0","0,0","81,9","5,0",11,Medium,FALSE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,Debenhams,Non,"73,3",P2 — Recommandé,"95,0","24,0","10,0","12,9","10,0","7,0","4,0","1,0","-3,0","70,9","5,0",11,Medium,FALSE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,Nordstrom,Oui,"66,4",P3 — Test / à cadrer,"57,0","14,0","12,0","12,4","9,0","11,0","3,0","1,0","0,0","67,4","5,0",11,Medium,FALSE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,Bloomingdale's,Oui,"64,6",P3 — Test / à cadrer,"57,0","12,0","12,0","11,4","9,0","12,0","3,0","1,0","0,0","65,4","5,0",11,Medium,FALSE,luxury_premium,OK
Matteo (Matteo LA),Matteo,USA,Home / Lifestyle,Galeries Lafayette,Non,"62,3",P3 — Test / à cadrer,"42,0","20,0","8,0","9,5","9,0","12,0","5,0","1,0","-5,0","64,5","5,0",11,Medium,FALSE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,Nordstrom,Oui,"84,5",P1 — Fort potentiel,,"27,0","10,0","12,5","9,0","11,0","5,0","5,0","0,0","84,5","3,0",20,Medium,TRUE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,La Redoute,Non,"79,8",P2 — Recommandé,"100,0","26,0","7,0","12,5","10,0","9,0","5,0","5,0","-2,0","77,5","3,0",20,Medium,TRUE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,Bloomingdale's,Oui,"79,6",P2 — Recommandé,,"25,0","9,0","11,6","9,0","12,0","5,0","3,0","0,0","79,6","3,0",20,Medium,TRUE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,Debenhams,Non,"74,4",P2 — Recommandé,"100,0","25,0","7,0","12,5","10,0","8,0","4,0","3,0","-3,0","71,5","3,0",20,Medium,TRUE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,John Lewis,Non,"74,2",P2 — Recommandé,"75,0","20,0","7,0","11,6","10,0","11,0","4,5","5,0","0,0","74,1","3,0",20,Medium,TRUE,luxury_premium,OK
Maygel Coronel,Maygel Coronel,Colombia,Swimwear / Resort,Galeries Lafayette,Non,"69,9",P3 — Test / à cadrer,"62,0","22,0","7,0","10,3","9,0","12,0","5,0","3,5","-3,0","70,8","3,0",20,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,Bloomingdale's,Oui,"82,8",P1 — Fort potentiel,,"30,0","12,0","10,8","8,0","12,0","3,0","2,0","0,0","82,8","3,0",11,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,Nordstrom,Oui,"82,4",P1 — Fort potentiel,,"28,0","12,0","11,4","8,0","11,0","3,0","4,0","0,0","82,4","3,0",11,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,John Lewis,Non,"72,9",P2 — Recommandé,"87,0","19,0","9,0","10,8","8,0","11,0","4,5","4,0","0,0","71,3","3,0",11,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,Galeries Lafayette,Non,"67,5",P3 — Test / à cadrer,"72,0","25,0","8,0","9,5","8,0","12,0","5,0","2,5","-8,0","67,0","3,0",11,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,La Redoute,Non,"50,1",Watchlist — faible fit,"70,0","16,0","8,0","11,9","8,0","8,0","5,0","4,0","-18,0","47,9","3,0",11,Medium,TRUE,luxury_premium,OK
Melissa Joy Manning,Melissa Joy Manning,USA,Fine Jewelry,Debenhams,Non,"48,3",Watchlist — faible fit,"70,0","18,0","10,0","11,9","8,0","7,0","4,0","2,0","-20,0","45,9","3,0",11,Medium,TRUE,luxury_premium,OK
