Recommandations finales — 2 nouveaux marketplaces par marque,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaque recommandation exclut les marketplaces déjà présents. Les scores reflètent le modèle optimisé; les raisons/risques sont rédigés pour être utilisables en pitch ou en plan d'action.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Marque,URL,Pays,Catégorie optimisée,Tags produits,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable / éthique,Positionnement,Marketplaces déjà présents,Reco #1,Score #1,Priorité #1,Pourquoi #1,Plan d'entrée #1,Conditions / risques #1,Reco #2,Score #2,Priorité #2,Pourquoi #2,Plan d'entrée #2,Conditions / risques #2,Opportunité conseil,Confiance,Notes data,Sources marque
Melissa Joy Manning,melissajoymanning.com,USA,Fine Jewelry,"fine jewelry, jewelry","3,0",11,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"72,9",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"67,5",P3 — Test / à cadrer,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,melissajoymanning.com; ZoomInfo; LinkedIn; CFDA
Mizuki,mizukijewels.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"64,8",P3 — Test / à cadrer,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"59,0",Watchlist — faible fit,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,mizukijewels.com; ZoomInfo; LinkedIn
Mothers Day (Agua by Agua Bendita),aguabyaguabendita.com,Colombia,Swimwear / Resort,swim/resort,"10,0",50,High,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"93,7",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Colombia | readiness commerciale: CA $10M, effectif min. 50, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Swimwear / Resort; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"89,0",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Colombia | readiness commerciale: CA $10M, effectif min. 50, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Swimwear / Resort; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer / storytelling durable,Haute,OK,aguabyaguabendita.com; ZoomInfo; LinkedIn; Vogue
Nili Lotan,nililotan.com,USA,Womenswear RTW,"home/lifestyle, knit/cashmere, womenswear","20,0",50,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"90,0",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"89,1",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,nililotan.com; ZoomInfo; LinkedIn; BoF
Olympia Le-Tan,olympialetan.com,France,Accessories / Leather,accessoires/leather,"2,0",5,High,Non,luxury_premium,"Bloomingdale's, Galeries Lafayette",Nordstrom,"75,1",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | levier d’expansion US depuis France | readiness commerciale: CA $2M, effectif min. 5, international High","Test dropship 30–60 SKU Accessories / Leather; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client,John Lewis,"71,4",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | levier d’entrée UK depuis France | readiness commerciale: CA $2M, effectif min. 5, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,olympialetan.com; ZoomInfo; LinkedIn; Vogue Paris
Ortovox (Aztech Mountain),aztechmountain.com,USA,Womenswear RTW,"active/outdoor, womenswear","5,0",11,Medium,Non,luxury_premium,John Lewis,Bloomingdale's,"82,0",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 11, international Medium","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",Mapping URL/marque à vérifier,Nordstrom,"82,0",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 11, international Medium","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",Mapping URL/marque à vérifier,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,Mapping URL/marque à vérifier,aztechmountain.com; ZoomInfo; LinkedIn
Oseree,oseree.com,Italy,Swimwear / Resort,swim/resort,"5,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",La Redoute,"77,8",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | cohérence européenne/France | readiness commerciale: CA $5M, effectif min. 11, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",protéger le prix et l’image: capsule sélective sans promo agressive,Debenhams,"75,1",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’entrée UK depuis Italy | readiness commerciale: CA $5M, effectif min. 11, international Medium",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,oseree.com; ZoomInfo; LinkedIn; Vogue
PF24 (Alex Perry),alexperry.com.au,Australia,Bridal / Occasion,"bridal, womenswear","5,0",25,Medium,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"84,2",P1 — Fort potentiel,"fit catégorie solide (Bridal / Occasion) | levier d’expansion US depuis Australia | readiness commerciale: CA $5M, effectif min. 25, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Bridal / Occasion; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"83,4",P1 — Fort potentiel,"fit catégorie très fort (Bridal / Occasion) | levier d’expansion US depuis Australia | readiness commerciale: CA $5M, effectif min. 25, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Bridal / Occasion; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,alexperry.com.au; ZoomInfo; LinkedIn; Vogue Australia
Paris Texas,us.paristexasbrand.com,Italy,Footwear,"accessoires/leather, footwear","3,0",11,High,Non,premium_contemporary,"Bloomingdale's, Nordstrom",John Lewis,"85,0",P1 — Fort potentiel,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis Italy | readiness commerciale: CA $3M, effectif min. 11, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Debenhams,"84,6",P1 — Fort potentiel,"fit catégorie solide (Footwear) | levier d’entrée UK depuis Italy | readiness commerciale: CA $3M, effectif min. 11, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,Pack conseil: go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,paristexasbrand.com; ZoomInfo; LinkedIn; Vogue Italia
R13,r13.com,USA,Womenswear RTW,"accessoires/leather, denim, womenswear","20,0",50,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",Galeries Lafayette,"86,1",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,John Lewis,"83,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,r13.com; ZoomInfo; LinkedIn; BoF
Ready to Wear (Elie Saab),eliesaab.com,Other,Womenswear RTW,"bridal, womenswear","100,0",500,High,Non,ultra_luxury,Aucun dans le set cible,Galeries Lafayette,"82,1",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis Other | readiness commerciale: CA $100M, effectif min. 500, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Nordstrom,"81,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Other | readiness commerciale: CA $100M, effectif min. 500, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,eliesaab.com; Wikipedia; BoF; ZoomInfo; LinkedIn
Retrofete,retrofete.com,USA,Womenswear RTW,"bridal, womenswear","20,0",25,High,Non,premium_contemporary,"Bloomingdale's, Nordstrom",Debenhams,"86,6",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 25, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,John Lewis,"85,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 25, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,retrofete.com; ZoomInfo; LinkedIn; BoF
Robinson Pelham,robinsonpelham.com,UK,Fine Jewelry,"fine jewelry, jewelry","5,0",10,Medium,Non,luxury_premium,John Lewis,Bloomingdale's,"83,1",P1 — Fort potentiel,"fit catégorie très fort (Fine Jewelry) | levier d’expansion US depuis UK | readiness commerciale: CA $5M, effectif min. 10, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Nordstrom,"82,1",P1 — Fort potentiel,"fit catégorie très fort (Fine Jewelry) | levier d’expansion US depuis UK | readiness commerciale: CA $5M, effectif min. 10, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,robinsonpelham.com; Companies House UK; ZoomInfo; LinkedIn
Rodarte,rodarte.net,USA,Womenswear RTW,womenswear,"10,0",25,High,Non,ultra_luxury,"Bloomingdale's, Nordstrom",Galeries Lafayette,"83,4",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 25, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,John Lewis,"79,5",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $10M, effectif min. 25, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,rodarte.net; ZoomInfo; LinkedIn; BoF; Wikipedia
Rosie Assoulin,rosieassoulin.com,USA,Womenswear RTW,womenswear,"5,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"76,1",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"73,4",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,rosieassoulin.com; ZoomInfo; LinkedIn; BoF
Ruslan Baginskiy,ruslanbaginskiy.com,Other,Accessories / Leather,"accessoires/leather, millinery","5,0",20,Low,Non,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette",John Lewis,"70,2",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | levier d’entrée UK depuis Other | readiness commerciale: CA $5M, effectif min. 20, international Low","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"63,6",P3 — Test / à cadrer,"fit catégorie à cadrer (Accessories / Leather) | levier d’entrée France/Europe depuis Other | readiness commerciale: CA $5M, effectif min. 20, international Low","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,ruslanbaginskiy.com; ZoomInfo; LinkedIn; Vogue
S.S. Daley,ssdaley.com,UK,Womenswear RTW,"menswear, womenswear","2,0",11,Medium,Non,luxury_premium,John Lewis,Nordstrom,"77,8",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis UK | readiness commerciale: CA $2M, effectif min. 11, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"74,4",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis UK | readiness commerciale: CA $2M, effectif min. 11, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test | prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,ssdaley.com; Companies House UK; ZoomInfo; LinkedIn; BoF
SASUPHI,sasuphi.com,Italy,Footwear,"footwear, womenswear","2,0",5,High,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"83,4",P1 — Fort potentiel,"fit catégorie très fort (Footwear) | levier d’expansion US depuis Italy | readiness commerciale: CA $2M, effectif min. 5, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Footwear; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client,John Lewis,"79,7",P2 — Recommandé,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis Italy | readiness commerciale: CA $2M, effectif min. 5, international High | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,sasuphi.com; ZoomInfo; LinkedIn
SENSI STUDIO,sensistudio.com,Other,Swimwear / Resort,"accessoires/leather, millinery, swim/resort","3,0",20,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"80,2",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’entrée UK depuis Other | readiness commerciale: CA $3M, effectif min. 20, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"78,4",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’entrée France/Europe depuis Other | readiness commerciale: CA $3M, effectif min. 20, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,sensistudio.com; ZoomInfo; LinkedIn; BoF
SOPHIE BUHAI,sophiebuhai.com,USA,Fine Jewelry,"accessoires/leather, fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"71,1",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"63,5",P3 — Test / à cadrer,"fit catégorie très fort (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,sophiebuhai.com; ZoomInfo; LinkedIn; CFDA
STONE AND STRAND,stoneandstrand.com,USA,Fine Jewelry,"bridal, fine jewelry, jewelry","5,0",25,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"76,7",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 25, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"70,3",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 25, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,stoneandstrand.com; ZoomInfo; LinkedIn; BoF
Sacai,sacai.jp,Japan,Womenswear RTW,"accessoires/leather, footwear, menswear, womenswear","16,0",67,High,Non,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette",John Lewis,"82,2",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis Japan | readiness commerciale: CA $16M, effectif min. 67, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Debenhams,"71,0",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis Japan | readiness commerciale: CA $16M, effectif min. 67, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,sacai.jp/about; Highsnobiety; BoF; RocketReach; Apollo
Serapian,serapian.com,Italy,Accessories / Leather,accessoires/leather,"15,0",50,Medium,Non,ultra_luxury,Galeries Lafayette,Bloomingdale's,"83,3",P1 — Fort potentiel,"fit catégorie solide (Accessories / Leather) | levier d’expansion US depuis Italy | readiness commerciale: CA $15M, effectif min. 50, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Accessories / Leather; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Nordstrom,"82,4",P1 — Fort potentiel,"fit catégorie solide (Accessories / Leather) | levier d’expansion US depuis Italy | readiness commerciale: CA $15M, effectif min. 50, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Accessories / Leather; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,serapian.com; ZoomInfo; LinkedIn; Wikipedia
Shay Furniture (Shay),shayfurniture.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"77,5",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international Medium","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | Mapping URL/marque à vérifier,Bloomingdale's,"76,1",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international Medium","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | Mapping URL/marque à vérifier,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,Mapping URL/marque à vérifier,shayjewelry.com; ZoomInfo; note: URL in dataset may be mislinked
Simone Rocha,shop-us.simonerocha.com,UK,Womenswear RTW,womenswear,"10,0",25,High,Non,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette, John Lewis",La Redoute,"74,9",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $10M, effectif min. 25, international High","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",protéger le prix et l’image: capsule sélective sans promo agressive,Debenhams,"74,0",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | cohérence marché UK | readiness commerciale: CA $10M, effectif min. 25, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,simonerocha.com; Companies House UK; ZoomInfo; LinkedIn; BoF
